LAST SEEN   TYPE      REASON                         OBJECT                           MESSAGE
8m46s       Normal    Created                        pod/b-deploy-5b5c9d8466-js7jl    Created container: b
8m46s       Normal    Created                        pod/p-deploy-6679b7fdc6-hvjft    Created container: p
8m46s       Normal    Created                        pod/b-deploy-5b5c9d8466-qndrh    Created container: b
8m46s       Normal    Pulled                         pod/b-deploy-5b5c9d8466-qndrh    Container image "b-service:local" already present on machine
8m45s       Normal    Started                        pod/p-deploy-6679b7fdc6-bt7lr    Started container p
8m45s       Normal    Started                        pod/b-deploy-5b5c9d8466-js7jl    Started container b
8m45s       Normal    Started                        pod/p-deploy-6679b7fdc6-hvjft    Started container p
8m45s       Normal    Started                        pod/b-deploy-5b5c9d8466-qndrh    Started container b
8m43s       Warning   Unhealthy                      pod/b-deploy-5b5c9d8466-js7jl    Readiness probe failed: dial tcp 10.244.2.8:50052: connect: connection refused
8m43s       Warning   Unhealthy                      pod/p-deploy-6679b7fdc6-hvjft    Readiness probe failed: Get "http://10.244.4.8:8080/healthz": dial tcp 10.244.4.8:8080: connect: connection refused
8m42s       Warning   Unhealthy                      pod/b-deploy-5b5c9d8466-qndrh    Readiness probe failed: dial tcp 10.244.4.7:50052: connect: connection refused
8m33s       Normal    ScalingReplicaSet              deployment/p-deploy              Scaled up replica set p-deploy-6679b7fdc6 from 3 to 6
8m33s       Normal    SuccessfulRescale              horizontalpodautoscaler/p-hpa    New size: 6; reason: cpu resource utilization (percentage of request) above target
8m32s       Normal    Scheduled                      pod/p-deploy-6679b7fdc6-r88qg    Successfully assigned pspd/p-deploy-6679b7fdc6-r88qg to pspd-cluster-m02
8m32s       Normal    SuccessfulCreate               replicaset/p-deploy-6679b7fdc6   Created pod: p-deploy-6679b7fdc6-r88qg
8m32s       Normal    SuccessfulCreate               replicaset/p-deploy-6679b7fdc6   Created pod: p-deploy-6679b7fdc6-zkvx5
8m32s       Normal    SuccessfulCreate               replicaset/p-deploy-6679b7fdc6   Created pod: p-deploy-6679b7fdc6-vskgv
8m32s       Normal    Scheduled                      pod/p-deploy-6679b7fdc6-zkvx5    Successfully assigned pspd/p-deploy-6679b7fdc6-zkvx5 to pspd-cluster-m02
8m32s       Normal    Pulled                         pod/p-deploy-6679b7fdc6-zkvx5    Container image "p-gateway:local" already present on machine
8m32s       Normal    Scheduled                      pod/p-deploy-6679b7fdc6-vskgv    Successfully assigned pspd/p-deploy-6679b7fdc6-vskgv to pspd-cluster-m03
8m32s       Normal    Pulled                         pod/p-deploy-6679b7fdc6-vskgv    Container image "p-gateway:local" already present on machine
8m31s       Normal    Pulled                         pod/p-deploy-6679b7fdc6-r88qg    Container image "p-gateway:local" already present on machine
8m31s       Normal    Created                        pod/p-deploy-6679b7fdc6-r88qg    Created container: p
8m31s       Normal    Created                        pod/p-deploy-6679b7fdc6-zkvx5    Created container: p
8m31s       Normal    Created                        pod/p-deploy-6679b7fdc6-vskgv    Created container: p
8m31s       Normal    Started                        pod/p-deploy-6679b7fdc6-vskgv    Started container p
8m30s       Normal    Started                        pod/p-deploy-6679b7fdc6-zkvx5    Started container p
8m30s       Normal    Started                        pod/p-deploy-6679b7fdc6-r88qg    Started container p
6m2s        Normal    SuccessfulDelete               replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-r88qg
6m2s        Normal    Killing                        pod/p-deploy-6679b7fdc6-r88qg    Stopping container p
6m2s        Normal    Killing                        pod/p-deploy-6679b7fdc6-cff55    Stopping container p
6m2s        Normal    ScalingReplicaSet              deployment/p-deploy              Scaled down replica set p-deploy-6679b7fdc6 from 6 to 3
6m2s        Normal    SuccessfulRescale              horizontalpodautoscaler/p-hpa    New size: 3; reason: All metrics below target
6m2s        Normal    Killing                        pod/p-deploy-6679b7fdc6-vskgv    Stopping container p
6m2s        Normal    SuccessfulDelete               replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-cff55
6m2s        Normal    SuccessfulDelete               replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-vskgv
5m47s       Normal    Scheduled                      pod/b-deploy-5b5c9d8466-gnf7l    Successfully assigned pspd/b-deploy-5b5c9d8466-gnf7l to pspd-cluster-m02
5m47s       Normal    ScalingReplicaSet              deployment/b-deploy              Scaled up replica set b-deploy-5b5c9d8466 from 3 to 4
5m47s       Normal    SuccessfulRescale              horizontalpodautoscaler/b-hpa    New size: 4; reason: cpu resource utilization (percentage of request) above target
5m47s       Normal    Created                        pod/b-deploy-5b5c9d8466-gnf7l    Created container: b
5m47s       Normal    Pulled                         pod/b-deploy-5b5c9d8466-gnf7l    Container image "b-service:local" already present on machine
5m47s       Normal    SuccessfulCreate               replicaset/b-deploy-5b5c9d8466   Created pod: b-deploy-5b5c9d8466-gnf7l
5m46s       Normal    Started                        pod/b-deploy-5b5c9d8466-gnf7l    Started container b
5m45s       Warning   Unhealthy                      pod/b-deploy-5b5c9d8466-gnf7l    Readiness probe failed: dial tcp 10.244.2.11:50052: connect: connection refused
5m2s        Normal    Killing                        pod/p-deploy-6679b7fdc6-bt7lr    Stopping container p
5m2s        Normal    ScalingReplicaSet              deployment/p-deploy              Scaled down replica set p-deploy-6679b7fdc6 from 3 to 2
5m2s        Normal    SuccessfulRescale              horizontalpodautoscaler/p-hpa    New size: 2; reason: All metrics below target
5m2s        Normal    SuccessfulDelete               replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-bt7lr
4m31s       Warning   Unhealthy                      pod/p-deploy-6679b7fdc6-bt7lr    Readiness probe failed: Get "http://10.244.4.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m2s        Normal    Killing                        pod/p-deploy-6679b7fdc6-zkvx5    Stopping container p
4m2s        Normal    SuccessfulDelete               replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-zkvx5
4m2s        Normal    ScalingReplicaSet              deployment/p-deploy              Scaled down replica set p-deploy-6679b7fdc6 from 2 to 1
4m2s        Normal    SuccessfulRescale              horizontalpodautoscaler/p-hpa    New size: 1; reason: All metrics below target
2s          Normal    Killing                        pod/b-deploy-5b5c9d8466-js7jl    Stopping container b
2s          Normal    SuccessfulRescale              horizontalpodautoscaler/b-hpa    New size: 2; reason: All metrics below target
2s          Normal    ScalingReplicaSet              deployment/b-deploy              Scaled down replica set b-deploy-5b5c9d8466 from 4 to 2
2s          Normal    SuccessfulDelete               replicaset/b-deploy-5b5c9d8466   Deleted pod: b-deploy-5b5c9d8466-qndrh
2s          Normal    Killing                        pod/b-deploy-5b5c9d8466-qndrh    Stopping container b
2s          Normal    SuccessfulDelete               replicaset/b-deploy-5b5c9d8466   Deleted pod: b-deploy-5b5c9d8466-js7jl
